context_3,context_2,context_1,response
,Я есть хочу) Поём и вернусь),Приятного 😉,Спасибо🤗
,,,🐁🐁🐈ня кушай
,,🐁🐁🐈ня кушай,Не хочу я крыс есть😂😂😂
,🐁🐁🐈ня кушай,Не хочу я крыс есть😂😂😂,
,,,смотря с какой погремушкой
,,смотря с какой погремушкой,"Да нет , конечно не с погремушкой))с кроком 😌😁"
,смотря с какой погремушкой,"Да нет , конечно не с погремушкой))с кроком 😌😁",крока на мясо пустили а шкуру на сумочки и ремни
смотря с какой погремушкой,"Да нет , конечно не с погремушкой))с кроком 😌😁",крока на мясо пустили а шкуру на сумочки и ремни,Привет 🤝
"Да нет , конечно не с погремушкой))с кроком 😌😁",крока на мясо пустили а шкуру на сумочки и ремни,Привет 🤝,шалом🤜🤛🤝
,,,"Может позже кто подтянется ещё, поиграем)"
,,"Может позже кто подтянется ещё, поиграем)","Подожду, если не усну 😏"
,,,Неть😏
,,Неть😏,дя
,,,бабушка не ворчит?
,,бабушка не ворчит?,привееейть🤗
,бабушка не ворчит?,привееейть🤗,привет 😌
,,😂,Ну правда же😏
,,,Какой милаш 🤗😍😁
,,Какой милаш 🤗😍😁,на шашлык пойдёт🤣🤣🤣
,Какой милаш 🤗😍😁,на шашлык пойдёт🤣🤣🤣,"Никогда, слышишь,понял?😡😡😂"
Какой милаш 🤗😍😁,на шашлык пойдёт🤣🤣🤣,"Никогда, слышишь,понял?😡😡😂",
,,,Не будь таким злодеем)
,,Не будь таким злодеем),
,,,Даааа(
,,,"У меня муж пошутил так разок, подложил силиконовых опарышей на клавиатуру. Капец у меня истерика была когда я дотронулась 🙈🙈🙈"
,,"У меня муж пошутил так разок, подложил силиконовых опарышей на клавиатуру. Капец у меня истерика была когда я дотронулась 🙈🙈🙈","Ты с ним не развелась после этого,?🙈😁"
,,,А другой не было?😂
,,А другой не было?😂,Я почему-то подумал эта лучше подходит)
,А другой не было?😂,Я почему-то подумал эта лучше подходит),Я тоже... почему то 🤔😁
,,,Чуть позже😂😂😂
,,Чуть позже😂😂😂,Вот видишь 😂
,,,Дома я
,,Дома я,Фуф... наконец то))
,,,Чë там в гч происходит? 😂
,,,Не бойся 😏
,,Не бойся 😏,А причем тут страх
,Не бойся 😏,А причем тут страх,"Выглядываешь и прячешься.....не,не страх?)"
,,,"А что, причём?)👀"
,,"А что, причём?)👀",
,"А что, причём?)👀",,Тебя нужно бояться да?)
"А что, причём?)👀",,Тебя нужно бояться да?),Только из-за панамы 🤣🤣🤣
,Тебя нужно бояться да?),Только из-за панамы 🤣🤣🤣,Тебе чем моя панамка не нравится
Тебя нужно бояться да?),Только из-за панамы 🤣🤣🤣,Тебе чем моя панамка не нравится,Класная панама😄😆
Только из-за панамы 🤣🤣🤣,Тебе чем моя панамка не нравится,Класная панама😄😆,Опасная🤭
,,,"Опасение,?)
Хех😁"
,,"Опасение,?)
Хех😁","Аналог
Епт"
,"Опасение,?)
Хех😁","Аналог
Епт",Ойё....))
"Опасение,?)
Хех😁","Аналог
Епт",Ойё....)),"Конеш
Пиздец
Пиехал
Твою бабушку"
"Аналог
Епт",Ойё....)),"Конеш
Пиздец
Пиехал
Твою бабушку","Без буквы ""р""уже не то😂"
Ойё....)),"Конеш
Пиздец
Пиехал
Твою бабушку","Без буквы ""р""уже не то😂",Канабис
,,,Ее уже год нету
,,Ее уже год нету,Соболезную))
,,,Утонула в оби
,,,Оби ?
,,Оби ?,тампоны
,Оби ?,тампоны,Wtf
,,,Ну река Обь
,,Ну река Обь,Мда даже похоронить не смог.
,,Доброй ночи,Доброй))
,,,🫂
,,🫂,Привет 👋
,,,Ну.. как вы тут?
,,Ну.. как вы тут?,Фигнёй страдаем))
,,,Скоро рассвет
,,Скоро рассвет,Выхода нет
,,,выхода нет
,,выхода нет,Чего?
,выхода нет,Чего?,1 дне
выхода нет,Чего?,1 дне,Стол зачем показывать ?
,,,Я вернулся
,,Я вернулся,А меня увести у тебя хотят😂
,Я вернулся,А меня увести у тебя хотят😂,Кто?
Я вернулся,А меня увести у тебя хотят😂,Кто?,"Хз, аргентинец личку теребит😂😂😂"
А меня увести у тебя хотят😂,Кто?,"Хз, аргентинец личку теребит😂😂😂","Ееебать,аргентинец"
,,,Лавров ебать
,,,🤗🤗🤗
,,🤗🤗🤗,Доброе Настенька☺️
,🤗🤗🤗,Доброе Настенька☺️,На работу?😏
🤗🤗🤗,Доброе Настенька☺️,На работу?😏,Умерла же Муму.
,,,Утреко
,,Утреко,Какие людии
,,,На фоне корова?
,,На фоне корова?,Какая корова
,,,Доброе Настенька ☺️
,,Доброе Настенька ☺️,у меня ночь 🌚
,,,Привет медведь
,,Привет медведь,Привет Елизабет)
,,,Китя❤️
,,,Где муму
,,Где муму,🤣
,,,Можно я не пойду ему лицо бить?
,,Можно я не пойду ему лицо бить?,Не ходи😂😂😂
,Можно я не пойду ему лицо бить?,Не ходи😂😂😂,Хорошо
,,,"😂
Долековато
😂😂😂"
,,,Пиздец 6 утра 21 минута
,,Пиздец 6 утра 21 минута,4 часа
,,,"Что то как то тихо тут(
2.21🤷‍♀️"
,,"Что то как то тихо тут(
2.21🤷‍♀️","Один заезд говорит и домой
Можно было и без него"
,"Что то как то тихо тут(
2.21🤷‍♀️","Один заезд говорит и домой
Можно было и без него",Осень наступила
,,,Но сука нельзя
,,Но сука нельзя,
,,,Падают листы
,,,Мне никто не нужен кроме ты
,,Мне никто не нужен кроме ты,😂😂😂😂
,Мне никто не нужен кроме ты,😂😂😂😂,😅😅😅😂
,,,Ебать я бомжик
,,Ебать я бомжик,Как домовёнок)
,,,Потерпи
,,Потерпи,Как будто неделю не брился
,Потерпи,Как будто неделю не брился,Ушёл на крайний заезд
Потерпи,Как будто неделю не брился,Ушёл на крайний заезд,Иди😘
Как будто неделю не брился,Ушёл на крайний заезд,Иди😘,"Хаха
Кто еще тут?
Кто не спит ?
Кто проснулся?
Кто кофе пьет ?
Кто молчит? 🤣"
,,,I am prosnulsya
,,I am prosnulsya,Доброе утро началось 👍
,,,Сколько лет тебе Артем ?
,,Сколько лет тебе Артем ?,Да он рекламы рекламирует
,,,Бот наверно
,,Бот наверно,Незнам
,Бот наверно,Незнам,А ещё ему 15 лет
Бот наверно,Незнам,А ещё ему 15 лет,Но поверям
Незнам,А ещё ему 15 лет,Но поверям,"Елизавета оно тебе нинада
Посодют
Как за настоящего"
,,,В тюму?
,,В тюму?,Но
,,,"Ебать
Они в голосовое чате всю ночь
О чем столько пиздеть можно?"
,,,Весь день можно
,,Весь день можно,"Пол вечера и всю ночь,по моим меркам"
,,,Прикинь
,,Прикинь,"И так громко все
Ну любят поболтать"
,Прикинь,"И так громко все
Ну любят поболтать",Плюс
Прикинь,"И так громко все
Ну любят поболтать",Плюс,"Уже друзьями стали
Кого-то обсуждают
Курят"
,,,А давайте веселиться
,,А давайте веселиться,
,,,Аууу
,,,"Лиза, какое веселье предпочитаешь?"
,,"Лиза, какое веселье предпочитаешь?",Простое дружное
,,,Там где комары не кусают 🤣😆
,,Там где комары не кусают 🤣😆,От комаров можно намазаться чем нибудь
,Там где комары не кусают 🤣😆,От комаров можно намазаться чем нибудь,"Есть и браслеты, но они не очень эфкктивны"
Там где комары не кусают 🤣😆,От комаров можно намазаться чем нибудь,"Есть и браслеты, но они не очень эфкктивны",Браслеты и ошейники )
От комаров можно намазаться чем нибудь,"Есть и браслеты, но они не очень эфкктивны",Браслеты и ошейники ),Ошейники это вроде от блох)
"Есть и браслеты, но они не очень эфкктивны",Браслеты и ошейники ),Ошейники это вроде от блох),
Браслеты и ошейники ),Ошейники это вроде от блох),,Чокер нет?
Ошейники это вроде от блох),,Чокер нет?,Похер будет чопер
,,,Ты уже на работе?
,,Ты уже на работе?,"Я в ночь,я буду скоро с нее"
,,,Ты ошейники носишь ?
,,Ты ошейники носишь ?,Вообще голенький хожу
,Ты ошейники носишь ?,Вообще голенький хожу,Оу май
Ты ошейники носишь ?,Вообще голенький хожу,Оу май,"Андрюха здарофф, ты не спишь никогда?))"
Вообще голенький хожу,Оу май,"Андрюха здарофф, ты не спишь никогда?))",Неа)
,,,А вечером опять на нее
,,А вечером опять на нее,Бяяяя
,,,Лёха чоперы носишь?
,,Лёха чоперы носишь?,Куда же без них)
,,,Если сказано что ёжик птичка значит полетит)
,,Если сказано что ёжик птичка значит полетит),Советские инженеры и не такое могли
,,,Та нет
,,Та нет,Елизавета покажись нам хоть🤔☺️
,Та нет,Елизавета покажись нам хоть🤔☺️,Накидают в личку)
,,,Как у вас погода во Франции)
,,Как у вас погода во Франции),Та шо нет то
,,,Асмичка дорогая как ты?❤️☺️
,,Асмичка дорогая как ты?❤️☺️,"Ты как Андрюш, работаешь?"
,Асмичка дорогая как ты?❤️☺️,"Ты как Андрюш, работаешь?",Домой скоро
Асмичка дорогая как ты?❤️☺️,"Ты как Андрюш, работаешь?",Домой скоро,Ну отлично 🤗
,,,"Да вот вставать через 4 часа, а мне как назло не спится 😤"
,,"Да вот вставать через 4 часа, а мне как назло не спится 😤",Ложись
,"Да вот вставать через 4 часа, а мне как назло не спится 😤",Ложись,Да не заснуть 🤷‍♀️
"Да вот вставать через 4 часа, а мне как назло не спится 😤",Ложись,Да не заснуть 🤷‍♀️,Давай вместе попробуем..мне тоже в 7 надо просыпаться
Ложись,Да не заснуть 🤷‍♀️,Давай вместе попробуем..мне тоже в 7 надо просыпаться,"Ну тебе то на работу, а я то типо на больничном 😂🤣🤣"
,,,Вечером опять на смену
,,Вечером опять на смену,Ты в рабстве что ли?😁
,Вечером опять на смену,Ты в рабстве что ли?😁,Предпоследняя строчка это я
Вечером опять на смену,Ты в рабстве что ли?😁,Предпоследняя строчка это я,"Тёмным, это все рабочие дни?"
Ты в рабстве что ли?😁,Предпоследняя строчка это я,"Тёмным, это все рабочие дни?",11 это дневные 11 подчеркнутые это ночные
Предпоследняя строчка это я,"Тёмным, это все рабочие дни?",11 это дневные 11 подчеркнутые это ночные,🤦🏻‍♀️🤦🏻‍♀️ жесть канеш😋 но труд облагораживает человека😋 так что работаемс Андрюшик😁
"Тёмным, это все рабочие дни?",11 это дневные 11 подчеркнутые это ночные,🤦🏻‍♀️🤦🏻‍♀️ жесть канеш😋 но труд облагораживает человека😋 так что работаемс Андрюшик😁,Я облагородился со всей силы
11 это дневные 11 подчеркнутые это ночные,🤦🏻‍♀️🤦🏻‍♀️ жесть канеш😋 но труд облагораживает человека😋 так что работаемс Андрюшик😁,Я облагородился со всей силы,
,,,Да пиздец этот месяц слишком продуктивный
,,Да пиздец этот месяц слишком продуктивный,Норм😋 сон для слабаков😂
,,,Это кто тут такой не спит🤔😘😘😘
,,Это кто тут такой не спит🤔😘😘😘,За тобой слежу🤣🤣
,Это кто тут такой не спит🤔😘😘😘,За тобой слежу🤣🤣,Что выяснилось в процессе)
Это кто тут такой не спит🤔😘😘😘,За тобой слежу🤣🤣,Что выяснилось в процессе),Да я шучу) ещё не хватало мне за мужчиной следить 😂 пусть они за мной следят🤣🤣
За тобой слежу🤣🤣,Что выяснилось в процессе),Да я шучу) ещё не хватало мне за мужчиной следить 😂 пусть они за мной следят🤣🤣,"Эхх, а я уже в себя поверил😂😂😂"
Что выяснилось в процессе),Да я шучу) ещё не хватало мне за мужчиной следить 😂 пусть они за мной следят🤣🤣,"Эхх, а я уже в себя поверил😂😂😂",Эт хорошо😁 в себя надо верить всегда 😉😘 вот и я в себя верю😂😂
Да я шучу) ещё не хватало мне за мужчиной следить 😂 пусть они за мной следят🤣🤣,"Эхх, а я уже в себя поверил😂😂😂",Эт хорошо😁 в себя надо верить всегда 😉😘 вот и я в себя верю😂😂,😂😂😂😂
"Эхх, а я уже в себя поверил😂😂😂",Эт хорошо😁 в себя надо верить всегда 😉😘 вот и я в себя верю😂😂,😂😂😂😂,
,,,"Доброе утро, Анюта!"
,,"Доброе утро, Анюта!","У меня 2:55😁 ну да, уже доброе утречко почти😁🤗"
,,,"Доброе утро, Лёха"
,,"Доброе утро, Лёха",Добрый ночер
,,,Подчеркнутые это ночные
,,Подчеркнутые это ночные,Здоровья и сил тебе дорогой🤗 буду знать кого можно раскулачивать 😂
,Подчеркнутые это ночные,Здоровья и сил тебе дорогой🤗 буду знать кого можно раскулачивать 😂,"Если бы,вечно на нулях"
Подчеркнутые это ночные,Здоровья и сил тебе дорогой🤗 буду знать кого можно раскулачивать 😂,"Если бы,вечно на нулях",Эт почем?🤨 за энтузиазм куяришь?😂😂
,,,"Всю ночь плохо спал, в горле першит"
,,"Всю ночь плохо спал, в горле першит",Чего енто?
,"Всю ночь плохо спал, в горле першит",Чего енто?,"Продуло, наверное)"
"Всю ночь плохо спал, в горле першит",Чего енто?,"Продуло, наверное)","Миша , чо не спишь"
Чего енто?,"Продуло, наверное)","Миша , чо не спишь","Даша, уже проснулся, на работу через 10 минут"
"Продуло, наверное)","Миша , чо не спишь","Даша, уже проснулся, на работу через 10 минут",Нормас.
,,,"Реально хочешь, чтобы мы проанализировали? ))"
,,"Реально хочешь, чтобы мы проанализировали? ))",Да просто посмотри охуей и закрой
,"Реально хочешь, чтобы мы проанализировали? ))",Да просто посмотри охуей и закрой,Можно админа в голосовой?
"Реально хочешь, чтобы мы проанализировали? ))",Да просто посмотри охуей и закрой,Можно админа в голосовой?,Я ж не админ😂
Да просто посмотри охуей и закрой,Можно админа в голосовой?,Я ж не админ😂,Я не знала) У тебя подпись...
Можно админа в голосовой?,Я ж не админ😂,Я не знала) У тебя подпись...,И оляля
,,,"Да посмотрел, охуел и закрыл))"
,,"Да посмотрел, охуел и закрыл))",Уже
,,,любимая?😏
,,любимая?😏,Конечно❤
,любимая?😏,Конечно❤,будем селаваса по прдружески в засос?
любимая?😏,Конечно❤,будем селаваса по прдружески в засос?,Если в засос муж убьёт 😂
Конечно❤,будем селаваса по прдружески в засос?,Если в засос муж убьёт 😂,Он тебя в заложниках держит? На засосаться что-ли?
будем селаваса по прдружески в засос?,Если в засос муж убьёт 😂,Он тебя в заложниках держит? На засосаться что-ли?,"Не, у нас по любви)))"
Если в засос муж убьёт 😂,Он тебя в заложниках держит? На засосаться что-ли?,"Не, у нас по любви)))","Понял, ролевые игры в семью 😂"
Он тебя в заложниках держит? На засосаться что-ли?,"Не, у нас по любви)))","Понял, ролевые игры в семью 😂",Нет у нас любовь
"Не, у нас по любви)))","Понял, ролевые игры в семью 😂",Нет у нас любовь,Я тебя умоляю
"Понял, ролевые игры в семью 😂",Нет у нас любовь,Я тебя умоляю,Умолять нужно на коленях
Нет у нас любовь,Я тебя умоляю,Умолять нужно на коленях,"Она другого любит, маленького и щуплого ))"
Я тебя умоляю,Умолять нужно на коленях,"Она другого любит, маленького и щуплого ))",Это кто ещё такой? 😂
Умолять нужно на коленях,"Она другого любит, маленького и щуплого ))",Это кто ещё такой? 😂,Петя
"Она другого любит, маленького и щуплого ))",Это кто ещё такой? 😂,Петя,Ху из Петя? 😂 Я таких не знаю😂
Это кто ещё такой? 😂,Петя,Ху из Петя? 😂 Я таких не знаю😂,Классные бутсы
Петя,Ху из Петя? 😂 Я таких не знаю😂,Классные бутсы,Спасибо)))
,,,Андрей админ?
,,Андрей админ?,"Не знаю, у него подпись есть"
,,,👀
,,,Истину глаголишь🤗🤗🤗
,,Истину глаголишь🤗🤗🤗,А было как то иначе?😉😂
,Истину глаголишь🤗🤗🤗,А было как то иначе?😉😂,Вроде нету на тебя в этом плане ничего пока что) 🤔🤔🤔
Истину глаголишь🤗🤗🤗,А было как то иначе?😉😂,Вроде нету на тебя в этом плане ничего пока что) 🤔🤔🤔,"А ты че, забыл как скучать по мне что ль?🤨😂😂"
А было как то иначе?😉😂,Вроде нету на тебя в этом плане ничего пока что) 🤔🤔🤔,"А ты че, забыл как скучать по мне что ль?🤨😂😂",
Вроде нету на тебя в этом плане ничего пока что) 🤔🤔🤔,"А ты че, забыл как скучать по мне что ль?🤨😂😂",,Не обманывай 😁 не прокатит😂😂
"А ты че, забыл как скучать по мне что ль?🤨😂😂",,Не обманывай 😁 не прокатит😂😂,Хорошо не буду)
,Не обманывай 😁 не прокатит😂😂,Хорошо не буду),Вот и не надо😉 я все вижу 🤨😂
Не обманывай 😁 не прокатит😂😂,Хорошо не буду),Вот и не надо😉 я все вижу 🤨😂,Сяду на пенёк съем пирожок🤔
Хорошо не буду),Вот и не надо😉 я все вижу 🤨😂,Сяду на пенёк съем пирожок🤔,Как работается Лёшик?🤔
Вот и не надо😉 я все вижу 🤨😂,Сяду на пенёк съем пирожок🤔,Как работается Лёшик?🤔,А чё ей будет то)
Сяду на пенёк съем пирожок🤔,Как работается Лёшик?🤔,А чё ей будет то),Я не о ней😂 я о тебе 😂
Как работается Лёшик?🤔,А чё ей будет то),Я не о ней😂 я о тебе 😂,"Нормально всё со мной)
Спасибо что спросила🤗
Значит я тебе не безразличен😘😘😘"
А чё ей будет то),Я не о ней😂 я о тебе 😂,"Нормально всё со мной)
Спасибо что спросила🤗
Значит я тебе не безразличен😘😘😘","Конечно нет😏 я очень рада, что все хорошо у тебя 😉"
Я не о ней😂 я о тебе 😂,"Нормально всё со мной)
Спасибо что спросила🤗
Значит я тебе не безразличен😘😘😘","Конечно нет😏 я очень рада, что все хорошо у тебя 😉",Как твой процесс выздоровления идёт?
"Нормально всё со мной)
Спасибо что спросила🤗
Значит я тебе не безразличен😘😘😘","Конечно нет😏 я очень рада, что все хорошо у тебя 😉",Как твой процесс выздоровления идёт?,"Пойдёт Лёш, тихими шажочками 😉😁"
"Конечно нет😏 я очень рада, что все хорошо у тебя 😉",Как твой процесс выздоровления идёт?,"Пойдёт Лёш, тихими шажочками 😉😁","Умница🤗
Поправляйся😘😘😘"
,,,В смысле пока что?!😏😂
,,,Может под кондеем спал?
,,Может под кондеем спал?,Может и кондей в машине повлиял
,Может под кондеем спал?,Может и кондей в машине повлиял,Надо горлышко пополоскать
,,,Ты блин 😘😘😘
,,Ты блин 😘😘😘,
,Ты блин 😘😘😘,,
Ты блин 😘😘😘,,,"Ля, гифками то какими запасливый😂😂"
,,,Я уже пиздица собрался
,,Я уже пиздица собрался,Ну я же у тебя верная😂
,,,у тебя есть муж😳
,,у тебя есть муж😳,Я муж лять
,у тебя есть муж😳,Я муж лять,не ловко получается😒
у тебя есть муж😳,Я муж лять,не ловко получается😒,Вот вот
,,,"Эй, крошка"
,,,Чё как
,,Чё как,Алоха 💋😊😊😊
,Чё как,Алоха 💋😊😊😊,Здаров))
,,,Ты как партизан. Вечно высматриваешь кто здесь прежде чем появится миру))))
,,Ты как партизан. Вечно высматриваешь кто здесь прежде чем появится миру)))),"Агась 😁 смотрю много уебанов на деревне, или свои все родименькие тут😂😂😂"
,Ты как партизан. Вечно высматриваешь кто здесь прежде чем появится миру)))),"Агась 😁 смотрю много уебанов на деревне, или свои все родименькие тут😂😂😂",Родименькие уебаны??)))))
Ты как партизан. Вечно высматриваешь кто здесь прежде чем появится миру)))),"Агась 😁 смотрю много уебанов на деревне, или свои все родименькие тут😂😂😂",Родименькие уебаны??))))),
,,,Раньше так медиа открывали)
,,Раньше так медиа открывали),Привет Андрюшка)
,Раньше так медиа открывали),Привет Андрюшка),Привяу Бубличек
,,,Ой смертник)))
,,Ой смертник))),
,Ой смертник))),,"Прикинь как лохонулся))) а думал, что пикапер уровень Бог))))"
Ой смертник))),,"Прикинь как лохонулся))) а думал, что пикапер уровень Бог))))",А не тут то было😂
,"Прикинь как лохонулся))) а думал, что пикапер уровень Бог))))",А не тут то было😂,"Заебца, у меня температура"
"Прикинь как лохонулся))) а думал, что пикапер уровень Бог))))",А не тут то было😂,"Заебца, у меня температура",Где ты так простыла
А не тут то было😂,"Заебца, у меня температура",Где ты так простыла,"Да в том-то и дело. Только что почувствовала, что не так чувствую. Померяла - бинго"
"Заебца, у меня температура",Где ты так простыла,"Да в том-то и дело. Только что почувствовала, что не так чувствую. Померяла - бинго","Офигеть конечно, лечись давай, выздоравливай)"
Где ты так простыла,"Да в том-то и дело. Только что почувствовала, что не так чувствую. Померяла - бинго","Офигеть конечно, лечись давай, выздоравливай)",Спасибо) ща чаю выпью и буду огурцом)))
"Да в том-то и дело. Только что почувствовала, что не так чувствую. Померяла - бинго","Офигеть конечно, лечись давай, выздоравливай)",Спасибо) ща чаю выпью и буду огурцом))),Молодец)
"Офигеть конечно, лечись давай, выздоравливай)",Спасибо) ща чаю выпью и буду огурцом))),Молодец),Ты как сама?
Спасибо) ща чаю выпью и буду огурцом))),Молодец),Ты как сама?,Да я в норме
,,,"А на манеже все теже .
Ушла эти сидели .
Пришла эти сидят."
,,,Вы задроты ?
,,Вы задроты ?,Я работаю
,Вы задроты ?,Я работаю,А остальные
Вы задроты ?,Я работаю,А остальные,Китя тоже в ночь
,,,"Админы Крис,Аврора,Ав,Чоп"
,,"Админы Крис,Аврора,Ав,Чоп",Спасибо)
,,,Так не её убью
,,Так не её убью,Ты муж?
,Так не её убью,Ты муж?,Да
,,,Сел на пенёк тыщу отдал
,,Сел на пенёк тыщу отдал,Откуда у меня такие деньги)
,Сел на пенёк тыщу отдал,Откуда у меня такие деньги),Тогда обхожи братишка пеньки
,,😂😂😂😂😂,"Взрослая
Э
Блять хочу за штангу взяться
Но сегодня в ночь
Блять
Что за не справебыдлость
🤔"
,,,"Всем доброй ночи, кому то уже прекрасного денёчка 🤗😘"
,,"Всем доброй ночи, кому то уже прекрасного денёчка 🤗😘",Сладких снов 😘😘😘
,,,Вот ты вроде брат земеля но сука че бесишь меня?
,,Вот ты вроде брат земеля но сука че бесишь меня?,"Просто мне бутсы нравятся, как ты мог подумать, я никогда не встану между тобой и Ket"
,Вот ты вроде брат земеля но сука че бесишь меня?,"Просто мне бутсы нравятся, как ты мог подумать, я никогда не встану между тобой и Ket",Ладна😒
,,,🤔😒
,,,У меня тож
,,У меня тож,Бро 🤝
,У меня тож,Бро 🤝,🤝
,,,😘😍💋
,,,🤦🏻‍♀️ выпей что нибудь
,,🤦🏻‍♀️ выпей что нибудь,"Чай ща выпью. Она такая, что сбивать низзя"
,🤦🏻‍♀️ выпей что нибудь,"Чай ща выпью. Она такая, что сбивать низзя",Ой самая противная температура
🤦🏻‍♀️ выпей что нибудь,"Чай ща выпью. Она такая, что сбивать низзя",Ой самая противная температура,Ага((
,,,Сладких снов❤️
,,Сладких снов❤️,
,,,Чего это? Где успела?
,,,А ты когда успел? (
,,А ты когда успел? (,Неделю уже как
,А ты когда успел? (,Неделю уже как,А чего я не знаю то? И не говоришь что бы пожалела)
А ты когда успел? (,Неделю уже как,А чего я не знаю то? И не говоришь что бы пожалела),
Неделю уже как,А чего я не знаю то? И не говоришь что бы пожалела),,
А чего я не знаю то? И не говоришь что бы пожалела),,,
,,,😅
,,,🤪
,,🤪,Привет русская
,🤪,Привет русская,Что за приветствие странное?
🤪,Привет русская,Что за приветствие странное?,Я странный
Привет русская,Что за приветствие странное?,Я странный,"Ну, поздравляю"
Что за приветствие странное?,Я странный,"Ну, поздравляю","Я странный, но логичный, не с чем поздравлять"
Я странный,"Ну, поздравляю","Я странный, но логичный, не с чем поздравлять",К чему это диалог?
"Ну, поздравляю","Я странный, но логичный, не с чем поздравлять",К чему это диалог?,"Да, странный диалог, ведь ты даже не поздоровалась"
"Я странный, но логичный, не с чем поздравлять",К чему это диалог?,"Да, странный диалог, ведь ты даже не поздоровалась","Ну, привет ) что за фишечки ))) хахахаха"
,,,Мне бутсы нравятся и сиськи
,,Мне бутсы нравятся и сиськи,Сисек нет😂
,Мне бутсы нравятся и сиськи,Сисек нет😂,"Ты чо, не рискуй мной, Андрюха увидит"
Мне бутсы нравятся и сиськи,Сисек нет😂,"Ты чо, не рискуй мной, Андрюха увидит",😂😂😂😂
,,,"Насморк только а так, все ок"
,,"Насморк только а так, все ок",И ты туда же😂😂😂
,"Насморк только а так, все ок",И ты туда же😂😂😂,Я просто под дождь попала) так нос теперь решил поплакать))
"Насморк только а так, все ок",И ты туда же😂😂😂,Я просто под дождь попала) так нос теперь решил поплакать)),Аккуратно давай!!!
И ты туда же😂😂😂,Я просто под дождь попала) так нос теперь решил поплакать)),Аккуратно давай!!!,"Да ерунда) утром на работу, все ок)"
Я просто под дождь попала) так нос теперь решил поплакать)),Аккуратно давай!!!,"Да ерунда) утром на работу, все ок)",Умачка💋😊
Аккуратно давай!!!,"Да ерунда) утром на работу, все ок)",Умачка💋😊,Хай
"Да ерунда) утром на работу, все ок)",Умачка💋😊,Хай,Привет
Умачка💋😊,Хай,Привет,Как дела? Давно не виделись
Хай,Привет,Как дела? Давно не виделись,?
Привет,Как дела? Давно не виделись,?,Дела как?
Как дела? Давно не виделись,?,Дела как?,Ровно
?,Дела как?,Ровно,"Спасибо, что спросила и у меня норм, что нового?"
Дела как?,Ровно,"Спасибо, что спросила и у меня норм, что нового?",Спать иду
Ровно,"Спасибо, что спросила и у меня норм, что нового?",Спать иду,Я тоже. Го вместе?
"Спасибо, что спросила и у меня норм, что нового?",Спать иду,Я тоже. Го вместе?,"Нет, спасибо"
Спать иду,Я тоже. Го вместе?,"Нет, спасибо",Тогда я сам
Я тоже. Го вместе?,"Нет, спасибо",Тогда я сам,Спокойной
"Нет, спасибо",Тогда я сам,Спокойной,Привет таракан
Тогда я сам,Спокойной,Привет таракан,Как тебя зовут?
,,,Хищница
,,Хищница,
,,,Umachka
,,,Тишина….
,,Тишина….,Спи
,Тишина….,Спи,Че й то))
Тишина….,Спи,Че й то)),Поздно
Спи,Че й то)),Поздно,Не могу уснуть
Че й то)),Поздно,Не могу уснуть,+
Поздно,Не могу уснуть,+,"У меня причина есть, а у тебя что?"
,,,Бу
,,,"Хорош ломаться, го ебаться"
,,"Хорош ломаться, го ебаться",Ксюха как всегда)) привет пупсик)
,"Хорош ломаться, го ебаться",Ксюха как всегда)) привет пупсик),Бубик Кубик привет
"Хорош ломаться, го ебаться",Ксюха как всегда)) привет пупсик),Бубик Кубик привет,Ошибся адресом
,,,"Привет😅🫡
ВСЕ ЧТО МЫ ЛЮБИМ СЕКС НАРКОТИКИ СЕКС НАРКОТИКИ 
😂😂"
,,"Привет😅🫡
ВСЕ ЧТО МЫ ЛЮБИМ СЕКС НАРКОТИКИ СЕКС НАРКОТИКИ 
😂😂",А рок н ролл?))
,"Привет😅🫡
ВСЕ ЧТО МЫ ЛЮБИМ СЕКС НАРКОТИКИ СЕКС НАРКОТИКИ 
😂😂",А рок н ролл?)),И это тоже
"Привет😅🫡
ВСЕ ЧТО МЫ ЛЮБИМ СЕКС НАРКОТИКИ СЕКС НАРКОТИКИ 
😂😂",А рок н ролл?)),И это тоже,У тебя ушки со звоночками?
А рок н ролл?)),И это тоже,У тебя ушки со звоночками?,Неа(
И это тоже,У тебя ушки со звоночками?,Неа(,"А у меня есть обруч такой со звоночками)) точнее это малой, но он сломался, и я думаю сделать заколки"
У тебя ушки со звоночками?,Неа(,"А у меня есть обруч такой со звоночками)) точнее это малой, но он сломался, и я думаю сделать заколки",Сделай 😅
Неа(,"А у меня есть обруч такой со звоночками)) точнее это малой, но он сломался, и я думаю сделать заколки",Сделай 😅,"Не вопрос) я делала обручи с нуля, с цветами и всякими штуками, так что заколки не проблема)"
"А у меня есть обруч такой со звоночками)) точнее это малой, но он сломался, и я думаю сделать заколки",Сделай 😅,"Не вопрос) я делала обручи с нуля, с цветами и всякими штуками, так что заколки не проблема)",Это замечательно ) рукоделие хорошо развивает
Сделай 😅,"Не вопрос) я делала обручи с нуля, с цветами и всякими штуками, так что заколки не проблема)",Это замечательно ) рукоделие хорошо развивает,Мозгам не даёт зарастать))
"Не вопрос) я делала обручи с нуля, с цветами и всякими штуками, так что заколки не проблема)",Это замечательно ) рукоделие хорошо развивает,Мозгам не даёт зарастать)),Даааа
,,,У меня много чего)
,,У меня много чего),Спокойно ночи тебе
